ESPN Ranking,Player,Age,Default Position ID
211,JJ Peterka,24.0,3
212,Jacob Markstrom,,5
213,Brayden Schenn,35.0,1
214,Will Smith,,3
215,Trevor Moore,31.0,2
216,Joseph Woll,,5
217,Mattias Ekholm,36.0,4
218,Esa Lindell,32.0,4
219,Troy Terry,,2
220,Aliaksei Protas,,2
221,Kyle Palmieri,35.0,3
222,Yegor Sharangovich,28.0,2
223,Anthony Mantha,32.0,3
224,Anton Lundell,,1
225,Kris Letang,,4
226,Ivan Barbashev,,2
227,Frank Nazar,22.0,1
228,Jack Quinn,25.0,3
229,Fabian Zetterlund,,3
230,Anthony Cirelli,,1
231,Brady Skjei,,4
232,Shane Pinto,,1
233,Mattias Samuelsson,26.0,4
234,Jimmy Snuggerud,,3
235,Vladimir Tarasenko,,3
236,Viktor Arvidsson,33.0,3
237,Claude Giroux,,1
238,Morgan Frost,27.0,1
239,Alexander Wennberg,,1
240,Joel Farabee,26.0,2
241,Alexander Nikishin,,4
242,Devon Toews,,4
243,Mikael Backlund,37.0,1
244,Ryan Donato,30.0,3
245,Evander Kane,,2
246,Vladislav Gavrikov,,4
247,Mason McTavish,,1
248,Connor McMichael,,1
249,Tristan Jarry,31.0,5
250,Sean Monahan,,1
251,Dawson Mercer,24.0,3
252,Ryan Leonard,,3
253,Lukas Dostal,,5
254,Jason Zucker,34.0,2
255,Adam Larsson,,4
256,Ben Kindel,,1
257,Artturi Lehkonen,,2
258,Stuart Skinner,,5
259,Jonathan Huberdeau,33.0,2
260,Shea Theodore,,4
261,Emil Heineman,,2
262,Ivan Demidov,20.0,3
263,Seth Jones,,4
264,Pierre-Luc Dubois,,1
265,Josh Doan,24.0,3
266,Philipp Grubauer,,5
267,Michael Bunting,31.0,2
268,K'Andre Miller,26.0,4
269,Erik Haula,35.0,1
270,Logan Stankoven,23.0,1
271,Jake McCabe,,4
272,Boone Jenner,,1
273,Gustav Forsling,,4
274,Sam Malinski,,4
275,Martin Fehervary,,4
276,Teuvo Teravainen,32.0,2
277,Luke Hughes,23.0,4
278,Mario Ferraro,,4
279,Noah Cates,,1
280,Adin Hill,,5
281,Alex Nedeljkovic,,5
282,Christian Dvorak,,1
283,Matt Savoie,22.0,3
284,Mason Marchment,,2
285,Chandler Stephenson,,1
286,Joonas Korpisalo,,5
287,Ryan Pulock,31.0,4
288,Conor Garland,,3
289,Cam Fowler,,4
290,Josh Manson,,4
291,Vasily Podkolzin,25.0,3
292,Cole Perfetti,,2
293,Dmitry Orlov,,4
294,Thatcher Demko,,5
295,Owen Power,23.0,4
296,Parker Kelly,,2
297,Jordan Binnington,,5
298,Arturs Silovs,,5
299,Dmitri Voronkov,,2
300,Evan Rodrigues,33.0,1
301,Ridly Greig,,1
302,Mavrik Bourque,,1
303,Taylor Hall,34.0,2
304,Jake Neighbours,,2
305,Kent Johnson,,2
306,William Karlsson,,1
307,Jack Roslovic,,1
308,Fraser Minten,22.0,1
309,Nikita Zadorov,31.0,4
310,Ryan McLeod,27.0,1
311,Ryan Poehling,,1
312,Jordan Staal,38.0,1
313,Oliver Ekman-Larsson,,4
314,Alex Killorn,,3
315,Emmitt Finnie,21.0,2
316,Sean Couturier,,1
317,Drew O'Connor,,2
318,Aaron Ekblad,,4
319,Simon Holmstrom,,3
320,Cole Sillinger,,2
321,Alex Iafallo,,2
322,Yaroslav Askarov,,5
323,Gabriel Landeskog,,2
324,Tommy Novak,,1
325,Jean-Gabriel Pageau,33.0,1
326,Egor Chinakhov,,3
327,Tony DeAngelo,30.0,4
328,Daniil Tarasov,27.0,5
329,Jamie Benn,37.0,2
330,Artem Zub,,4
331,Oliver Kapanen,23.0,1
332,Eetu Luostarinen,,2
333,Drew Doughty,36.0,4
334,Andrew Copp,32.0,1
335,Jack McBain,,1
336,Connor Brown,32.0,3
337,Akira Schmid,,5
338,Jordan Martinook,34.0,2
339,Philip Broberg,,4
340,Damon Severson,,4
341,Tyler Seguin,34.0,1
342,Ilya Mikheyev,,2
343,Collin Graf,,2
344,Michael Carcone,,3
345,Yakov Trenin,,2
346,Zack Bolduc,23.0,2
347,Mathieu Olivier,,3
348,Casey Mittelstadt,27.0,2
349,Corey Perry,41.0,3
350,Matias Maccelli,,2
351,Justin Brazeau,,3
352,Zach Benson,21.0,2
353,Pius Suter,,1
354,Peyton Krebs,25.0,1
355,Michael Amadio,,3
356,Connor Dewar,,2
357,A.J. Greer,,2
358,Jordan Spence,,4
359,Bobby Brink,,3
360,Rasmus Sandin,,4
361,Keegan Kolesar,29.0,3
362,Charle-Edouard D'Astous,,4
363,Cam Talbot,,5
364,Justin Sourdif,,1
365,Yanni Gourde,,1
366,Elvis Merzlikins,,5
367,Frederik Andersen,36.0,5
368,Josh Norris,27.0,1
369,Linus Karlsson,,3
370,Kaapo Kakko,,3
371,Adam Henrique,36.0,1
372,Ryan Shea,29.0,4
373,Jonathan Drouin,,2
374,Samuel Ersson,,5
375,Ivar Stenberg,,2
376,Sam Steel,28.0,1
377,Max Domi,,1
378,Connor Ingram,,5
379,John Marino,,4
380,Marcus Johansson,,2
